1;Expedicion Single Vineyard Selection Cabernet Sauvignon 2019;Tinto;Chile;Vale Central;13;Finca Patagonia;17;750;Cabernet Sauvignon;2019;Carne Assada;Expedicion Single Vineyard Selection Cabernet Sauvignon 2019
2;Duo R One Ronaldinho Brunello di Montalcino DOCG 2014;Tinto;Italia;Toscana;15;Fabio Cordela;18;750;Sangiovese;2014;Massa ao Molho Sugo;Duo R One Ronaldinho Brunello di Montalcino DOCG 2014
3;Jules Desvignes Pinot Noir 2016;Tinto;França;Languedoc-Roussillon;12.5;Domaine Du Pere Guillot;16;750;Pinot Noir;2016;Queijos Leves, Massas ao Molho Sugo;Jules Desvignes Pinot Noir 2016
4;Anciano Gran Reserva 10 years Valdepeñas D.O. 2007;Tinto;Espanha;Valdepenãs;13;Anciano;17;750;Tempranillo;2007;Carnes Vermelhas, Carnes de Caça, Queijos Curados;Anciano Gran Reserva 10 years Valdepeñas D.O. 2007
5;Mil Raices Selección Especial Cabernet Sauvignon 2018;Tinto;Chile;None;13;Mil Raices;17;750;Cabernet Sauvignon;0;Carnes Vermelhas, Queijos Amarelos, Massas;Mil Raices Selección Especial Cabernet Sauvignon 2018
6;Domaine Le Mourre Châteauneuf-du-Pape AOC 2016;Tinto;França;valer do Rhone;14;Cellier Des Prince;17;750;Grenache;2016;Queijos Maduros, Bife de Lombo;Domaine Le Mourre Châteauneuf-du-Pape AOC 2016
7;ZioBaffa 2014;Tinto;Italia;Toscana;12.5;Castellani;16;750;Varias Uvas;2014;Provolone a Milanesa, Anel de Lula Empanado com Molho de Tomate, Lasanha a Bolonesa;ZioBaffa 2014
8;Mil Raices Merlot 2018;Tinto;Chile;Chile;13;7 Raices;17;750;Merlot;2018;Carne Bovina Grelhada, Massa ao Molho Sugo;Mil Raices Merlot 2018
9;Buenos Aires Reserva Malbec 2016;Tinto;Argentina;Mendoza;13;Fecovita;17;750;Malbec;2016;Churrasco, Queijos Amarelos;Buenos Aires Reserva Malbec 2016
10;Villa Matilde Cecubo 2013;Tinto;Italia;Campania;13.5;Villa Matilde;17;750;PiedroRosso;2013;Carnes de caça, Queijos Azuis;Villa Matilde Cecubo 2013
11;Vecchio Podere Cantine Cecconi Chianti DOCG 2017;Tinto;Italia;Toscana;12;Cantine Cecconi;17;750;Varias Uvas;2017;Espaguete ao Molho Sugo, Lasanha a Bolonhesa;Vecchio Podere Cantine Cecconi Chianti DOCG 2017
12;Don Simón Selección Tempranillo;Tinto;Espanha;Castilla-La Mancha;12;J.Garcia Carrion;16;750;Tempranillo;0;Embutidos, Espaguete a Bolonhesa;Don Simón Selección Tempranillo
13;Portada 2017;Tinto;Portugal;Lisboa;13;DFJ;17;750;Varias Uvas;2017;Queijo Parmesão, Carnes Assadas, Carnes Grelhadas;Portada 2017
